Job,Production_Plan_ID,Operation,Arrival,Machine,Start,Processing Time,Flow time,End
10,0,5,963,M05,1473.0,11.0,521.0,1484.0
10,0,6,963,M06,1484.0,62.0,583.0,1546.0
10,0,7,963,M07,1575.0,56.0,668.0,1631.0
10,0,8,963,M08,1631.0,44.0,712.0,1675.0
10,0,9,963,M09,1675.0,21.0,733.0,1696.0
11,9,6,969,M05,1484.0,47.0,562.0,1531.0
11,9,7,969,M03,1564.0,52.0,647.0,1616.0
11,9,8,969,M04,1616.0,90.0,737.0,1706.0
11,9,9,969,M07,1706.0,45.0,782.0,1751.0
12,8,4,992,M02,1763.0,85.0,856.0,1848.0
12,8,5,992,M09,1848.0,11.0,867.0,1859.0
12,8,6,992,M06,1859.0,40.0,907.0,1899.0
12,8,7,992,M07,1899.0,89.0,996.0,1988.0
12,8,8,992,M04,1988.0,26.0,1022.0,2014.0
12,8,9,992,M08,2018.0,74.0,1100.0,2092.0
13,2,1,1046,M00,1440.0,85.0,479.0,1525.0
13,2,2,1046,M03,1525.0,39.0,518.0,1564.0
13,2,3,1046,M02,1594.0,74.0,622.0,1668.0
13,2,4,1046,M08,1694.0,90.0,738.0,1784.0
13,2,5,1046,M05,1813.0,10.0,777.0,1823.0
13,2,6,1046,M07,1885.0,12.0,851.0,1897.0
13,2,7,1046,M06,1998.0,89.0,1041.0,2087.0
13,2,8,1046,M09,2087.0,45.0,1086.0,2132.0
13,2,9,1046,M04,2132.0,33.0,1119.0,2165.0
14,4,6,1177,M08,1505.0,21.0,349.0,1526.0
14,4,7,1177,M07,1526.0,49.0,398.0,1575.0
14,4,8,1177,M09,1596.0,72.0,491.0,1668.0
14,4,9,1177,M06,1668.0,53.0,544.0,1721.0
15,7,4,1193,M04,1478.0,32.0,317.0,1510.0
15,7,5,1193,M06,1546.0,88.0,441.0,1634.0
15,7,6,1193,M08,1675.0,19.0,501.0,1694.0
15,7,7,1193,M09,1696.0,48.0,551.0,1744.0
15,7,8,1193,M07,1751.0,36.0,594.0,1787.0
15,7,9,1193,M03,1787.0,79.0,673.0,1866.0
16,1,2,1310,M04,1510.0,75.0,275.0,1585.0
16,1,3,1310,M09,1585.0,11.0,286.0,1596.0
16,1,4,1310,M03,1616.0,69.0,375.0,1685.0
16,1,5,1310,M01,1687.0,28.0,405.0,1715.0
16,1,6,1310,M06,1721.0,46.0,457.0,1767.0
16,1,7,1310,M05,1767.0,46.0,503.0,1813.0
