Job,Production_Plan_ID,Arrival,Ready Time,End,Processing Time
0,0,51,1440,3050.0,395
1,1,136,1440,2736.0,510
2,2,158,1440,2258.0,568
3,3,236,1440,2926.0,655
4,4,404,1440,3007.0,393
5,5,485,1440,2731.0,496
6,6,501,1440,2646.0,416
7,7,528,1440,3085.0,539
8,8,550,1440,2985.0,597
9,9,559,1440,2970.0,540
10,0,963,1440,3294.0,395
11,9,969,1440,3240.0,540
12,8,992,1440,3465.0,597
13,2,1046,1440,3306.0,568
14,4,1177,1440,3281.0,393
15,7,1193,1440,3355.0,539
16,1,1310,1440,3108.0,510
17,3,1343,1440,2979.0,655
18,5,1459,2880,4451.0,496
19,6,1460,2880,3879.0,416
20,7,1537,2880,4757.0,539
21,3,1561,2880,4522.0,655
22,2,1588,2880,4011.0,568
23,8,1626,2880,4531.0,597
24,5,1673,2880,5051.0,496
25,6,1874,2880,4378.0,416
26,9,1966,2880,4932.0,540
27,4,2226,2880,5023.0,393
28,0,2287,2880,4832.0,395
29,1,2338,2880,4580.0,510
30,8,2379,2880,4746.0,597
31,1,2520,2880,4672.0,510
32,5,2588,2880,5076.0,496
33,6,2641,2880,4536.0,416
34,9,2645,2880,5026.0,540
35,7,2691,2880,4917.0,539
36,3,2709,2880,4594.0,655
37,2,2762,2880,5009.0,568
38,4,2770,2880,5117.0,393
39,0,2781,2880,4898.0,395
40,4,2989,4320,6069.0,393
41,5,3246,4320,5953.0,496
42,0,3252,4320,5944.0,395
43,2,3372,4320,5833.0,568
44,9,3379,4320,5998.0,540
45,3,3467,4320,5790.0,655
46,7,3531,4320,5954.0,539
47,1,3544,4320,5466.0,510
48,8,3632,4320,5688.0,597
49,6,3653,4320,5888.0,416
50,1,3804,4320,5739.0,510
51,3,3843,4320,5940.0,655
52,5,4013,4320,6079.0,496
53,9,4015,4320,6124.0,540
54,8,4109,4320,6084.0,597
55,0,4190,4320,6149.0,395
56,2,4403,5760,6677.0,568
57,7,4471,5760,7263.0,539
58,6,4717,5760,6644.0,416
59,4,4738,5760,7212.0,393
60,3,4861,5760,7072.0,655
61,7,5105,5760,7516.0,539
62,2,5179,5760,7408.0,568
63,5,5239,5760,7345.0,496
64,9,5413,5760,7290.0,540
65,8,5586,5760,7248.0,597
66,4,5587,5760,7370.0,393
67,0,5649,5760,7180.0,395
68,6,5651,5760,7375.0,416
69,1,5667,5760,7069.0,510
70,0,5757,5760,7466.0,395
71,9,5768,7200,8330.0,540
72,8,5852,7200,8565.0,597
73,2,5887,7200,8615.0,568
74,7,5949,7200,8705.0,539
75,3,6113,7200,8616.0,655
76,4,6155,7200,8965.0,393
