Job,Production_Plan_ID,Operation,Machine,Arrival,Deadline,Start,Processing Time,End,Lateness,Tardiness,Earliness
168,0,0,M00,11628,13606,12960,29,12989,-617,0,617
175,4,0,M02,11753,13720,12960,14,12974,-746,0,746
177,9,0,M01,11817,14520,12960,85,13045,-1475,0,1475
148,7,9,M03,10200,12898,12973,79,13052,154,154,0
157,2,3,M02,10786,13629,12974,74,13048,-581,0,581
158,3,3,M04,10987,14266,12983,99,13082,-1184,0,1184
155,7,5,M06,10692,13390,12986,88,13074,-316,0,316
175,4,1,M00,11753,13720,12989,6,12995,-725,0,725
176,1,0,M00,11809,14362,12995,43,13038,-1324,0,1324
162,6,8,M07,11158,13241,12999,30,13029,-212,0,212
165,4,6,M08,11483,13450,12999,21,13020,-430,0,430
149,2,8,M09,10217,13060,13013,45,13058,-2,0,2
146,3,5,M08,10074,13353,13020,52,13072,-281,0,281
165,4,7,M07,11483,13450,13029,49,13078,-372,0,372
156,5,6,M00,10774,13257,13038,47,13085,-172,0,172
168,0,1,M01,11628,13606,13045,78,13123,-483,0,483
167,7,0,M02,11558,14256,13048,31,13079,-1177,0,1177
153,9,7,M03,10573,13276,13052,52,13104,-172,0,172
152,8,5,M09,10544,13533,13058,11,13069,-464,0,464
160,1,3,M09,11087,13640,13069,11,13080,-560,0,560
155,7,6,M08,10692,13390,13074,19,13093,-297,0,297
163,3,4,M06,11179,14458,13074,9,13083,-1375,0,1375
146,3,6,M07,10074,13353,13078,85,13163,-190,0,190
182,7,0,M02,12211,14909,13079,31,13110,-1799,0,1799
149,2,9,M04,10217,13060,13082,33,13115,55,55,0
158,3,4,M06,10987,14266,13083,9,13092,-1174,0,1174
177,9,1,M00,11817,14520,13085,13,13098,-1422,0,1422
152,8,6,M06,10544,13533,13092,40,13132,-401,0,401
142,8,9,M08,9807,12796,13093,74,13167,371,371,0
155,7,7,M09,10692,13390,13093,48,13141,-249,0,249
179,0,0,M00,11906,13884,13098,29,13127,-757,0,757
159,1,4,M03,11074,13627,13104,69,13173,-454,0,454
177,9,2,M02,11817,14520,13110,61,13171,-1349,0,1349
153,9,8,M04,10573,13276,13115,90,13205,-71,0,71
175,4,2,M01,11753,13720,13123,22,13145,-575,0,575
167,7,1,M00,11558,14256,13127,86,13213,-1043,0,1043
156,5,7,M06,10774,13257,13132,65,13197,-60,0,60
165,4,8,M09,11483,13450,13141,72,13213,-237,0,237
175,4,3,M05,11753,13720,13145,61,13206,-514,0,514
155,7,8,M07,10692,13390,13166,36,13202,-188,0,188
157,2,4,M08,10786,13629,13167,90,13257,-372,0,372
178,5,0,M02,11893,14376,13171,84,13255,-1121,0,1121
146,3,7,M03,10074,13353,13173,98,13271,-82,0,82
