Job,Production_Plan_ID,Operation,Machine,Arrival,Deadline,Start,Processing Time,End,Lateness,Tardiness,Earliness
112,5,0,M02,8016,10499,8640,84,8724,-1775,0,1775
96,0,0,M00,7274,9252,8640,29,8669,-583,0,583
97,6,0,M01,7347,9430,8640,46,8686,-744,0,744
90,9,6,M05,7005,9708,8659,47,8706,-1002,0,1002
93,7,7,M09,7131,9829,8659,48,8707,-1122,0,1122
87,2,4,M08,6857,9700,8660,90,8750,-950,0,950
91,3,3,M04,7006,10285,8660,99,8759,-1526,0,1526
92,8,2,M03,7122,10111,8667,76,8743,-1368,0,1368
102,0,0,M00,7728,9706,8669,29,8698,-1008,0,1008
86,4,9,M06,6755,8722,8669,53,8722,0,0,0
96,0,1,M01,7274,9252,8686,78,8764,-488,0,488
79,5,9,M07,6229,8712,8687,25,8712,0,0,0
97,6,1,M00,7347,9430,8698,37,8735,-695,0,695
82,3,8,M09,6310,9589,8707,22,8729,-860,0,860
93,7,8,M07,7131,9829,8712,36,8748,-1081,0,1081
108,4,0,M02,7899,9866,8724,14,8738,-1128,0,1128
89,8,5,M09,6974,9963,8729,11,8740,-1223,0,1223
99,1,0,M00,7531,10084,8735,43,8778,-1306,0,1306
114,4,0,M02,8229,10196,8738,14,8752,-1444,0,1444
89,8,6,M06,6974,9963,8740,40,8780,-1183,0,1183
92,8,3,M05,7122,10111,8743,51,8794,-1317,0,1317
97,6,2,M03,7347,9430,8743,61,8804,-626,0,626
98,5,0,M02,7459,9942,8752,84,8836,-1106,0,1106
101,6,0,M01,7632,9715,8764,46,8810,-905,0,905
108,4,1,M00,7899,9866,8778,6,8784,-1082,0,1082
89,8,7,M07,6974,9963,8780,89,8869,-1094,0,1094
91,3,4,M06,7006,10285,8780,9,8789,-1496,0,1496
110,0,0,M00,7941,9919,8784,29,8813,-1106,0,1106
80,1,9,M08,6271,8824,8794,30,8824,0,0,0
87,2,5,M05,6857,9700,8794,10,8804,-896,0,896
90,9,7,M03,7005,9708,8804,52,8856,-852,0,852
108,4,2,M01,7899,9866,8810,22,8832,-1034,0,1034
101,6,1,M00,7632,9715,8813,37,8850,-865,0,865
95,2,4,M08,7178,10021,8824,90,8914,-1107,0,1107
102,0,1,M01,7728,9706,8832,78,8910,-796,0,796
97,6,3,M02,7347,9430,8836,13,8849,-581,0,581
96,0,2,M02,7274,9252,8849,9,8858,-394,0,394
97,6,4,M06,7347,9430,8849,32,8881,-549,0,549
105,1,0,M00,7760,10313,8850,43,8893,-1420,0,1420
90,9,8,M04,7005,9708,8856,90,8946,-762,0,762
96,0,3,M03,7274,9252,8858,36,8894,-358,0,358
99,1,1,M02,7531,10084,8858,90,8948,-1136,0,1136
87,2,6,M07,6857,9700,8869,12,8881,-819,0,819
97,6,5,M05,7347,9430,8881,21,8902,-528,0,528
87,2,7,M06,6857,9700,8890,89,8979,-721,0,721
114,4,1,M00,8229,10196,8893,6,8899,-1297,0,1297
101,6,2,M03,7632,9715,8894,61,8955,-760,0,760
100,8,0,M00,7558,10547,8899,76,8975,-1572,0,1572
108,4,3,M05,7899,9866,8902,61,8963,-903,0,903
98,5,1,M01,7459,9942,8910,2,8912,-1030,0,1030
97,6,6,M09,7347,9430,8911,32,8943,-487,0,487
110,0,1,M01,7941,9919,8912,78,8990,-929,0,929
91,3,5,M08,7006,10285,8914,52,8966,-1319,0,1319
96,0,4,M04,7274,9252,8946,49,8995,-257,0,257
102,0,2,M02,7728,9706,8948,9,8957,-749,0,749
101,6,3,M02,7632,9715,8957,13,8970,-745,0,745
108,4,4,M03,7899,9866,8963,26,8989,-877,0,877
91,3,6,M07,7006,10285,8966,85,9051,-1234,0,1234
97,6,7,M08,7347,9430,8966,89,9055,-375,0,375
92,8,4,M02,7122,10111,8970,85,9055,-1056,0,1056
95,2,5,M05,7178,10021,8972,10,8982,-1039,0,1039
116,1,0,M00,8324,10877,8975,43,9018,-1859,0,1859
101,6,4,M06,7632,9715,8979,32,9011,-704,0,704
87,2,8,M09,6857,9700,8979,45,9024,-676,0,676
114,4,2,M01,8229,10196,8990,22,9012,-1184,0,1184
83,7,9,M03,6371,9069,8990,79,9069,0,0,0
96,0,5,M05,7274,9252,8995,11,9006,-246,0,246
99,1,2,M04,7531,10084,8995,75,9070,-1014,0,1014
98,5,2,M05,7459,9942,9006,52,9058,-884,0,884
96,0,6,M06,7274,9252,9011,62,9073,-179,0,179
115,6,0,M01,8230,10313,9012,46,9058,-1255,0,1255
120,1,0,M00,8538,11091,9018,43,9061,-2030,0,2030
95,2,6,M07,7178,10021,9051,12,9063,-958,0,958
107,5,0,M02,7893,10376,9055,84,9139,-1237,0,1237
92,8,5,M09,7122,10111,9055,11,9066,-1045,0,1045
101,6,5,M05,7632,9715,9058,21,9079,-636,0,636
106,9,0,M01,7880,10583,9058,85,9143,-1440,0,1440
115,6,1,M00,8230,10313,9061,37,9098,-1215,0,1215
97,6,8,M07,7347,9430,9063,30,9093,-337,0,337
102,0,3,M03,7728,9706,9069,36,9105,-601,0,601
89,8,8,M04,6974,9963,9070,26,9096,-867,0,867
99,1,3,M09,7531,10084,9070,11,9081,-1003,0,1003
94,4,9,M06,7166,9133,9080,53,9133,0,0,0
101,6,6,M09,7632,9715,9081,32,9113,-602,0,602
75,3,9,M05,5853,9132,9089,43,9132,0,0,0
96,0,7,M07,7274,9252,9093,56,9149,-103,0,103
118,8,0,M00,8426,11415,9098,76,9174,-2241,0,2241
102,0,4,M04,7728,9706,9105,49,9154,-552,0,552
98,5,3,M03,7459,9942,9105,95,9200,-742,0,742
114,4,3,M05,8229,10196,9132,61,9193,-1003,0,1003
95,2,7,M06,7178,10021,9133,89,9222,-799,0,799
105,1,1,M02,7760,10313,9139,90,9229,-1084,0,1084
107,5,1,M01,7893,10376,9143,2,9145,-1231,0,1231
100,8,1,M01,7558,10547,9145,69,9214,-1333,0,1333
