Job,Production_Plan_ID,Operation,Machine,Arrival,Deadline,Start,Processing Time,End,Lateness,Tardiness,Earliness
10,0,9,M09,922,2900,2880,21,2901,1,1,0
24,5,0,M02,1602,4085,2880,84,2964,-1121,0,1121
25,6,0,M01,1794,3877,2880,46,2926,-951,0,951
28,0,0,M00,2190,4168,2880,29,2909,-1259,0,1259
12,8,9,M08,950,3939,2885,74,2959,-980,0,980
4,4,7,M07,386,2353,2894,49,2943,590,590,0
8,8,8,M04,526,3515,2895,26,2921,-594,0,594
2,2,8,M09,151,2994,2901,45,2946,-48,0,48
23,8,0,M00,1557,4546,2909,76,2985,-1561,0,1561
6,6,9,M04,480,2563,2921,55,2976,413,413,0
22,2,0,M01,1521,4364,2926,91,3017,-1347,0,1347
0,0,6,M06,49,2027,2927,62,2989,962,962,0
14,4,7,M07,1127,3094,2943,49,2992,-102,0,102
4,4,8,M09,386,2353,2946,72,3018,665,665,0
1,1,9,M08,130,2683,2959,30,2989,306,306,0
20,7,0,M02,1472,4170,2964,31,2995,-1175,0,1175
2,2,9,M04,151,2994,2976,33,3009,15,15,0
25,6,1,M00,1794,3877,2985,37,3022,-855,0,855
7,7,5,M06,506,3204,2989,88,3077,-127,0,127
0,0,7,M07,49,2027,2992,56,3048,1021,1021,0
27,4,0,M02,2132,4099,2995,14,3009,-1090,0,1090
38,4,0,M02,2652,4619,3009,14,3023,-1596,0,1596
24,5,1,M01,1602,4085,3017,2,3019,-1066,0,1066
14,4,8,M09,1127,3094,3018,72,3090,-4,0,4
24,5,2,M05,1602,4085,3019,52,3071,-1014,0,1014
28,0,1,M01,2190,4168,3019,78,3097,-1071,0,1071
20,7,1,M00,1472,4170,3022,86,3108,-1062,0,1062
25,6,2,M03,1794,3877,3022,61,3083,-794,0,794
40,4,0,M02,2862,4829,3023,14,3037,-1792,0,1792
32,5,0,M02,2478,4961,3037,84,3121,-1840,0,1840
5,5,9,M07,464,2947,3048,25,3073,126,126,0
4,4,9,M06,386,2353,3077,53,3130,777,777,0
7,7,6,M08,506,3204,3077,19,3096,-108,0,108
24,5,3,M03,1602,4085,3083,95,3178,-907,0,907
9,9,9,M07,535,3238,3092,45,3137,-101,0,101
0,0,8,M08,49,2027,3096,44,3140,1113,1113,0
7,7,7,M09,506,3204,3096,48,3144,-60,0,60
23,8,1,M01,1557,4546,3097,69,3166,-1380,0,1380
27,4,1,M00,2132,4099,3108,6,3114,-985,0,985
22,2,1,M00,1521,4364,3114,85,3199,-1165,0,1165
25,6,3,M02,1794,3877,3121,13,3134,-743,0,743
13,2,9,M04,1001,3844,3124,33,3157,-687,0,687
14,4,9,M06,1127,3094,3130,53,3183,89,89,0
28,0,2,M02,2190,4168,3134,9,3143,-1025,0,1025
35,7,0,M02,2576,5274,3143,31,3174,-2100,0,2100
0,0,9,M09,49,2027,3144,21,3165,1138,1138,0
7,7,8,M07,506,3204,3144,36,3180,-24,0,24
27,4,2,M01,2132,4099,3166,22,3188,-911,0,911
24,5,4,M08,1602,4085,3178,48,3226,-859,0,859
7,7,9,M03,506,3204,3180,79,3259,55,55,0
25,6,4,M06,1794,3877,3183,32,3215,-662,0,662
20,7,2,M01,1472,4170,3188,46,3234,-936,0,936
27,4,3,M05,2132,4099,3188,61,3249,-850,0,850
29,1,0,M00,2238,4791,3199,43,3242,-1549,0,1549
24,5,5,M09,1602,4085,3226,72,3298,-787,0,787
21,3,0,M01,1495,4774,3234,81,3315,-1459,0,1459
29,1,1,M02,2238,4791,3242,90,3332,-1459,0,1459
38,4,1,M00,2652,4619,3242,6,3248,-1371,0,1371
39,0,0,M00,2663,4641,3248,29,3277,-1364,0,1364
25,6,5,M05,1794,3877,3249,21,3270,-607,0,607
27,4,4,M03,2132,4099,3259,26,3285,-814,0,814
20,7,3,M05,1472,4170,3270,74,3344,-826,0,826
31,1,0,M00,2413,4966,3277,43,3320,-1646,0,1646
11,9,9,M07,928,3631,3282,45,3327,-304,0,304
27,4,5,M04,2132,4099,3285,69,3354,-745,0,745
25,6,6,M09,1794,3877,3298,32,3330,-547,0,547
26,9,0,M01,1882,4585,3315,85,3400,-1185,0,1185
15,7,9,M03,1142,3840,3318,79,3397,-443,0,443
24,5,6,M00,1602,4085,3320,47,3367,-718,0,718
25,6,7,M08,1794,3877,3330,89,3419,-458,0,458
21,3,1,M02,1495,4774,3332,95,3427,-1347,0,1347
20,7,4,M04,1472,4170,3354,32,3386,-784,0,784
24,5,7,M06,1602,4085,3367,65,3432,-653,0,653
40,4,1,M00,2862,4829,3367,6,3373,-1456,0,1456
30,8,0,M00,2278,5267,3373,76,3449,-1818,0,1818
29,1,2,M04,2238,4791,3386,75,3461,-1330,0,1330
28,0,3,M03,2190,4168,3397,36,3433,-735,0,735
33,6,0,M01,2528,4611,3400,46,3446,-1165,0,1165
