Job,Routing_ID,Arrival,Ready Time,Deadline,Operation,Machine,Start,Processing Time,End
J25-0031,1,2567,2880,4377,0,M00,2880,43,2923
J25-0032,6,2654,2880,3881,0,M01,2880,46,2926
J25-0035,5,2726,2880,4126,0,M02,2880,84,2964
J25-0007,5,925,1440,2929,9,M07,2906,25,2931
J25-0023,8,2055,2880,4676,0,M00,2923,76,2999
J25-0024,3,2108,2880,4809,0,M01,2926,81,3007
J25-0015,5,1436,1440,2981,9,M07,2956,25,2981
J25-0031,1,2567,2880,4377,1,M02,2964,90,3054
J25-0004,3,287,1440,4856,6,M07,2981,85,3066
J25-0032,6,2654,2880,3881,1,M00,2999,37,3036
J25-0035,5,2726,2880,4126,1,M01,3007,2,3009
J25-0026,6,2192,2880,4415,0,M01,3009,46,3055
J25-0035,5,2726,2880,4126,2,M05,3009,52,3061
J25-0018,8,1919,2880,4772,0,M00,3036,76,3112
J25-0024,3,2108,2880,4809,1,M02,3054,95,3149
J25-0031,1,2567,2880,4377,2,M04,3054,75,3129
J25-0019,9,1925,2880,4621,0,M01,3055,85,3140
J25-0004,3,287,1440,4856,7,M03,3066,98,3164
J25-0005,1,498,1440,3106,9,M08,3076,30,3106
J25-0026,6,2192,2880,4415,1,M00,3112,37,3149
J25-0031,1,2567,2880,4377,3,M09,3129,11,3140
J25-0025,2,2126,2880,4780,0,M01,3140,91,3231
J25-0024,3,2108,2880,4809,2,M00,3149,71,3220
J25-0029,4,2301,2880,4675,0,M02,3149,14,3163
J25-0017,7,1864,2880,4980,0,M02,3163,31,3194
J25-0004,3,287,1440,4856,8,M09,3164,22,3186
J25-0032,6,2654,2880,3881,2,M03,3164,61,3225
J25-0011,1,1030,1440,3210,9,M08,3180,30,3210
J25-0037,7,2801,2880,5173,0,M02,3194,31,3225
J25-0019,9,1925,2880,4621,1,M00,3220,13,3233
J25-0024,3,2108,2880,4809,3,M04,3220,99,3319
J25-0032,6,2654,2880,3881,3,M02,3225,13,3238
J25-0035,5,2726,2880,4126,3,M03,3225,95,3320
J25-0016,6,1500,2880,4558,0,M01,3231,46,3277
J25-0025,2,2126,2880,4780,1,M00,3233,85,3318
J25-0019,9,1925,2880,4621,2,M02,3238,61,3299
J25-0014,4,1222,1440,3315,9,M06,3262,53,3315
J25-0023,8,2055,2880,4676,1,M01,3277,69,3346
J25-0036,4,2734,2880,5231,0,M02,3299,14,3313
J25-0021,5,1952,2880,5368,0,M02,3313,84,3397
J25-0032,6,2654,2880,3881,4,M06,3315,32,3347
J25-0016,6,1500,2880,4558,1,M00,3318,37,3355
J25-0026,6,2192,2880,4415,2,M03,3320,61,3381
J25-0035,5,2726,2880,4126,4,M08,3320,48,3368
J25-0010,0,1025,1440,3345,9,M09,3324,21,3345
J25-0003,2,243,1440,3379,9,M04,3346,33,3379
J25-0018,8,1919,2880,4772,1,M01,3346,69,3415
J25-0024,3,2108,2880,4809,4,M06,3347,9,3356
J25-0032,6,2654,2880,3881,5,M05,3347,21,3368
J25-0020,1,1935,2880,4834,0,M00,3355,43,3398
J25-0019,9,1925,2880,4621,3,M06,3356,7,3363
J25-0024,3,2108,2880,4809,5,M08,3368,52,3420
J25-0032,6,2654,2880,3881,6,M09,3368,32,3400
J25-0031,1,2567,2880,4377,4,M03,3381,69,3450
J25-0026,6,2192,2880,4415,3,M02,3397,13,3410
J25-0029,4,2301,2880,4675,1,M00,3398,6,3404
J25-0035,5,2726,2880,4126,5,M09,3400,72,3472
J25-0017,7,1864,2880,4980,1,M00,3404,86,3490
J25-0020,1,1935,2880,4834,1,M02,3410,90,3500
J25-0026,6,2192,2880,4415,4,M06,3410,32,3442
J25-0022,9,2001,2880,4784,0,M01,3415,85,3500
J25-0032,6,2654,2880,3881,7,M08,3420,89,3509
J25-0026,6,2192,2880,4415,5,M05,3442,21,3463
J25-0025,2,2126,2880,4780,2,M03,3450,39,3489
J25-0026,6,2192,2880,4415,6,M09,3472,32,3504
J25-0008,4,988,1440,3541,9,M06,3488,53,3541
J25-0035,5,2726,2880,4126,6,M00,3490,47,3537
J25-0006,9,790,1440,3539,9,M07,3494,45,3539
J25-0009,7,1004,1440,3578,9,M03,3499,79,3578
J25-0020,1,1935,2880,4834,2,M04,3500,75,3575
J25-0025,2,2126,2880,4780,3,M02,3500,74,3574
J25-0031,1,2567,2880,4377,5,M01,3500,28,3528
J25-0019,9,1925,2880,4621,4,M08,3509,64,3573
J25-0029,4,2301,2880,4675,2,M01,3528,22,3550
J25-0022,9,2001,2880,4784,1,M00,3537,13,3550
J25-0024,3,2108,2880,4809,6,M07,3539,85,3624
J25-0035,5,2726,2880,4126,7,M06,3541,65,3606
J25-0017,7,1864,2880,4980,2,M01,3550,46,3596
J25-0029,4,2301,2880,4675,3,M05,3550,61,3611
J25-0037,7,2801,2880,5173,1,M00,3550,86,3636
J25-0019,9,1925,2880,4621,5,M09,3573,76,3649
J25-0022,9,2001,2880,4784,2,M02,3574,61,3635
J25-0018,8,1919,2880,4772,2,M03,3578,76,3654
J25-0000,8,79,1440,3660,9,M08,3586,74,3660
J25-0021,5,1952,2880,5368,1,M01,3596,2,3598
J25-0033,2,2660,2880,6738,0,M01,3598,91,3689
J25-0031,1,2567,2880,4377,6,M06,3606,46,3652
J25-0035,5,2726,2880,4126,8,M04,3606,6,3612
J25-0017,7,1864,2880,4980,3,M05,3611,74,3685
J25-0032,6,2654,2880,3881,8,M07,3624,30,3654
J25-0027,7,2277,2880,5711,0,M02,3635,31,3666
J25-0036,4,2734,2880,5231,1,M00,3636,6,3642
