Job,Routing_ID,Arrival,Ready Time,Deadline,Operation,Machine,Start,Processing Time,End
J25-0072,6,4615,5760,7261,6,M09,7209,32,7241
J25-0076,1,4689,5760,7750,1,M02,7209,90,7299
J25-0085,6,5499,5760,7735,1,M00,7213,37,7250
J25-0048,7,3494,4320,7551,9,M03,7223,79,7302
J25-0073,3,4628,5760,7489,4,M06,7223,9,7232
J25-0075,4,4666,5760,7277,9,M06,7232,53,7285
J25-0082,7,5419,5760,7265,6,M08,7239,19,7258
J25-0066,5,4395,5760,7396,8,M04,7246,6,7252
J25-0083,0,5436,5760,7484,5,M05,7246,11,7257
J25-0070,7,4607,5760,7887,8,M07,7250,36,7286
J25-0101,0,6881,7200,8928,0,M00,7250,29,7279
J25-0065,4,4375,5760,7640,5,M04,7252,69,7321
J25-0067,7,4416,5760,7920,2,M01,7257,46,7303
J25-0072,6,4615,5760,7261,7,M08,7258,89,7347
J25-0082,7,5419,5760,7265,7,M09,7258,48,7306
J25-0096,0,6401,7200,9536,0,M00,7279,29,7308
J25-0083,0,5436,5760,7484,6,M06,7285,62,7347
J25-0066,5,4395,5760,7396,9,M07,7286,25,7311
J25-0092,4,5917,7200,10305,0,M02,7299,14,7313
J25-0085,6,5499,5760,7735,2,M03,7302,61,7363
J25-0067,7,4416,5760,7920,3,M05,7303,74,7377
J25-0086,5,5520,5760,8234,1,M01,7303,2,7305
J25-0088,3,5677,5760,8515,0,M01,7305,81,7386
J25-0081,4,5337,5760,7621,8,M09,7306,72,7378
J25-0082,7,5419,5760,7265,8,M07,7311,36,7347
J25-0092,4,5917,7200,10305,1,M00,7313,6,7319
J25-0097,7,6475,7200,9963,0,M02,7313,31,7344
J25-0089,9,5759,5760,8570,1,M00,7319,13,7332
J25-0076,1,4689,5760,7750,2,M04,7321,75,7396
J25-0064,2,4334,5760,7976,1,M00,7332,85,7417
J25-0089,9,5759,5760,8570,2,M02,7344,61,7405
J25-0071,8,4614,5760,7583,6,M06,7347,40,7387
J25-0072,6,4615,5760,7261,8,M07,7347,30,7377
J25-0074,2,4659,5760,7742,4,M08,7347,90,7437
J25-0078,5,4848,5760,7603,3,M03,7363,95,7458
J25-0083,0,5436,5760,7484,7,M07,7377,56,7433
J25-0086,5,5520,5760,8234,2,M05,7377,52,7429
J25-0099,3,6617,7200,8140,0,M01,7386,81,7467
J25-0081,4,5337,5760,7621,9,M06,7387,53,7440
J25-0072,6,4615,5760,7261,9,M04,7396,55,7451
J25-0085,6,5499,5760,7735,3,M02,7410,13,7423
J25-0076,1,4689,5760,7750,3,M09,7417,11,7428
J25-0103,8,6944,7200,10029,0,M00,7417,76,7493
J25-0088,3,5677,5760,8515,1,M02,7423,95,7518
J25-0074,2,4659,5760,7742,5,M05,7437,10,7447
J25-0083,0,5436,5760,7484,8,M08,7437,44,7481
J25-0085,6,5499,5760,7735,4,M06,7440,32,7472
J25-0074,2,4659,5760,7742,6,M07,7447,12,7459
J25-0067,7,4416,5760,7920,4,M04,7451,32,7483
J25-0082,7,5419,5760,7265,9,M03,7458,79,7537
J25-0071,8,4614,5760,7583,7,M07,7459,89,7548
J25-0077,9,4751,5760,8821,0,M01,7467,85,7552
J25-0074,2,4659,5760,7742,7,M06,7472,89,7561
J25-0085,6,5499,5760,7735,5,M05,7472,21,7493
J25-0078,5,4848,5760,7603,4,M08,7481,48,7529
J25-0083,0,5436,5760,7484,9,M09,7481,21,7502
J25-0085,6,5499,5760,7735,6,M09,7502,32,7534
J25-0088,3,5677,5760,8515,2,M00,7518,71,7589
J25-0099,3,6617,7200,8140,1,M02,7518,95,7613
J25-0065,4,4375,5760,7640,6,M08,7529,21,7550
J25-0078,5,4848,5760,7603,5,M09,7534,72,7606
J25-0076,1,4689,5760,7750,4,M03,7537,69,7606
J25-0071,8,4614,5760,7583,8,M04,7548,26,7574
J25-0065,4,4375,5760,7640,7,M07,7550,49,7599
J25-0073,3,4628,5760,7489,5,M08,7550,52,7602
J25-0038,3,2972,4320,7669,0,M01,7552,81,7633
J25-0067,7,4416,5760,7920,5,M06,7573,88,7661
J25-0077,9,4751,5760,8821,1,M00,7589,13,7602
J25-0088,3,5677,5760,8515,3,M04,7589,99,7688
J25-0073,3,4628,5760,7489,6,M07,7602,85,7687
J25-0085,6,5499,5760,7735,7,M08,7602,89,7691
J25-0064,2,4334,5760,7976,2,M03,7606,39,7645
J25-0074,2,4659,5760,7742,8,M09,7606,45,7651
J25-0078,5,4848,5760,7603,6,M00,7606,47,7653
J25-0077,9,4751,5760,8821,2,M02,7613,61,7674
J25-0038,3,2972,4320,7669,9,M05,7633,43,7676
J25-0076,1,4689,5760,7750,5,M01,7633,28,7661
J25-0086,5,5520,5760,8234,3,M03,7645,95,7740
J25-0065,4,4375,5760,7640,8,M09,7651,72,7723
J25-0097,7,6475,7200,9963,1,M00,7653,86,7739
J25-0076,1,4689,5760,7750,6,M06,7661,46,7707
J25-0079,0,4975,5760,8259,1,M01,7661,78,7739
