Job,Routing_ID,Arrival,Ready Time,Deadline,Operation,Machine,Start,Processing Time,End
J25-0052,8,3675,4320,6437,6,M06,5769,40,5809
J25-0082,7,5419,5760,7265,0,M02,5770,31,5801
J25-0044,5,3231,4320,5957,8,M04,5774,6,5780
J25-0041,9,3174,4320,5836,8,M04,5780,90,5870
J25-0044,5,3231,4320,5957,9,M07,5789,25,5814
J25-0055,7,3918,4320,5859,9,M03,5790,79,5869
J25-0050,6,3607,4320,6371,3,M02,5801,13,5814
J25-0061,9,4233,4320,6533,3,M06,5809,7,5816
J25-0052,8,3675,4320,6437,7,M07,5814,89,5903
J25-0056,5,3945,4320,6686,0,M02,5814,84,5898
J25-0050,6,3607,4320,6371,4,M06,5816,32,5848
J25-0039,9,3137,4320,6259,5,M09,5835,76,5911
J25-0061,9,4233,4320,6533,4,M08,5835,64,5899
J25-0046,3,3354,4320,6149,4,M06,5848,9,5857
J25-0050,6,3607,4320,6371,5,M05,5848,21,5869
J25-0033,2,2660,2880,6738,0,M01,5851,91,5942
J25-0059,1,4076,4320,6187,6,M06,5857,46,5903
J25-0034,8,2715,2880,6387,0,M00,5866,76,5942
J25-0049,2,3603,4320,6414,2,M03,5869,39,5908
J25-0063,3,4269,4320,5959,9,M05,5869,43,5912
J25-0062,6,4259,4320,6091,9,M04,5870,55,5925
J25-0075,4,4666,5760,7277,0,M02,5898,14,5912
J25-0058,3,4060,4320,6044,5,M08,5899,52,5951
J25-0041,9,3174,4320,5836,9,M07,5903,45,5948
J25-0051,4,3651,4320,6988,4,M03,5908,26,5934
J25-0050,6,3607,4320,6371,6,M09,5911,32,5943
J25-0039,9,3137,4320,6259,6,M05,5912,47,5959
J25-0049,2,3603,4320,6414,3,M02,5912,74,5986
J25-0052,8,3675,4320,6437,8,M04,5925,26,5951
J25-0034,8,2715,2880,6387,1,M01,5942,69,6011
J25-0053,9,3809,4320,6614,1,M00,5942,13,5955
J25-0061,9,4233,4320,6533,5,M09,5943,76,6019
J25-0051,4,3651,4320,6988,5,M04,5951,69,6020
J25-0058,3,4060,4320,6044,6,M07,5951,85,6036
J25-0030,0,2313,2880,6015,0,M00,5955,29,5984
J25-0039,9,3137,4320,6259,7,M03,5959,52,6011
J25-0059,1,4076,4320,6187,7,M05,5959,46,6005
J25-0084,1,5438,5760,6816,0,M00,5984,43,6027
J25-0049,2,3603,4320,6414,4,M08,5986,90,6076
J25-0053,9,3809,4320,6614,2,M02,5986,61,6047
J25-0030,0,2313,2880,6015,1,M01,6011,78,6089
J25-0034,8,2715,2880,6387,2,M03,6011,76,6087
J25-0061,9,4233,4320,6533,6,M05,6019,47,6066
J25-0039,9,3137,4320,6259,8,M04,6020,90,6110
J25-0082,7,5419,5760,7265,1,M00,6027,86,6113
J25-0059,1,4076,4320,6187,8,M07,6036,72,6108
J25-0053,9,3809,4320,6614,3,M06,6047,7,6054
J25-0084,1,5438,5760,6816,1,M02,6047,90,6137
J25-0046,3,3354,4320,6149,5,M08,6076,52,6128
J25-0049,2,3603,4320,6414,5,M05,6076,10,6086
J25-0034,8,2715,2880,6387,3,M05,6087,51,6138
J25-0058,3,4060,4320,6044,7,M03,6087,98,6185
J25-0056,5,3945,4320,6686,1,M01,6089,2,6091
J25-0073,3,4628,5760,7489,0,M01,6091,81,6172
J25-0049,2,3603,4320,6414,6,M07,6108,12,6120
J25-0045,6,3235,4320,6188,9,M04,6110,55,6165
J25-0069,8,4606,5760,6778,0,M00,6113,76,6189
J25-0049,2,3603,4320,6414,7,M06,6120,89,6209
J25-0046,3,3354,4320,6149,6,M07,6128,85,6213
J25-0054,0,3836,4320,6171,9,M09,6129,21,6150
J25-0030,0,2313,2880,6015,2,M02,6137,9,6146
J25-0056,5,3945,4320,6686,2,M05,6138,52,6190
J25-0059,1,4076,4320,6187,9,M08,6139,30,6169
J25-0034,8,2715,2880,6387,4,M02,6146,85,6231
J25-0040,0,3145,4320,6171,9,M09,6150,21,6171
J25-0084,1,5438,5760,6816,2,M04,6165,75,6240
J25-0050,6,3607,4320,6371,7,M08,6169,89,6258
J25-0082,7,5419,5760,7265,2,M01,6172,46,6218
J25-0030,0,2313,2880,6015,3,M03,6185,36,6221
J25-0058,3,4060,4320,6044,8,M09,6185,22,6207
J25-0087,8,5630,5760,10332,0,M00,6189,76,6265
J25-0058,3,4060,4320,6044,9,M05,6207,43,6250
J25-0039,9,3137,4320,6259,9,M07,6213,45,6258
J25-0042,8,3195,4320,7213,1,M01,6218,69,6287
J25-0046,3,3354,4320,6149,7,M03,6221,98,6319
J25-0034,8,2715,2880,6387,5,M09,6231,11,6242
J25-0048,7,3494,4320,7551,0,M02,6231,31,6262
J25-0030,0,2313,2880,6015,4,M04,6240,49,6289
J25-0034,8,2715,2880,6387,6,M06,6242,40,6282
J25-0049,2,3603,4320,6414,8,M09,6242,45,6287
J25-0082,7,5419,5760,7265,3,M05,6250,74,6324
J25-0050,6,3607,4320,6371,8,M07,6258,30,6288
J25-0053,9,3809,4320,6614,4,M08,6258,64,6322
J25-0078,5,4848,5760,7603,0,M02,6262,84,6346
J25-0033,2,2660,2880,6738,1,M00,6265,85,6350
J25-0069,8,4606,5760,6778,1,M01,6287,69,6356
J25-0084,1,5438,5760,6816,3,M09,6287,11,6298
J25-0034,8,2715,2880,6387,7,M07,6288,89,6377
J25-0050,6,3607,4320,6371,9,M04,6289,55,6344
J25-0046,3,3354,4320,6149,8,M09,6319,22,6341
J25-0061,9,4233,4320,6533,7,M03,6319,52,6371
J25-0030,0,2313,2880,6015,5,M05,6324,11,6335
J25-0052,8,3675,4320,6437,9,M08,6329,74,6403
J25-0030,0,2313,2880,6015,6,M06,6335,62,6397
J25-0046,3,3354,4320,6149,9,M05,6341,43,6384
J25-0053,9,3809,4320,6614,5,M09,6341,76,6417
J25-0049,2,3603,4320,6414,9,M04,6344,33,6377
J25-0073,3,4628,5760,7489,1,M02,6346,95,6441
J25-0076,1,4689,5760,7750,0,M00,6350,43,6393
J25-0078,5,4848,5760,7603,1,M01,6356,2,6358
J25-0072,6,4615,5760,7261,0,M01,6358,46,6404
J25-0033,2,2660,2880,6738,2,M03,6371,39,6410
J25-0034,8,2715,2880,6387,8,M04,6377,26,6403
J25-0048,7,3494,4320,7551,1,M00,6393,86,6479
J25-0030,0,2313,2880,6015,7,M07,6397,56,6453
J25-0034,8,2715,2880,6387,9,M08,6403,74,6477
J25-0061,9,4233,4320,6533,8,M04,6403,90,6493
J25-0085,6,5499,5760,7735,0,M01,6404,46,6450
J25-0069,8,4606,5760,6778,2,M03,6410,76,6486
J25-0053,9,3809,4320,6614,6,M05,6417,47,6464
J25-0033,2,2660,2880,6738,3,M02,6441,74,6515
J25-0087,8,5630,5760,10332,1,M01,6450,69,6519
J25-0030,0,2313,2880,6015,9,M09,6453,21,6474
J25-0051,4,3651,4320,6988,6,M08,6477,21,6498
J25-0072,6,4615,5760,7261,1,M00,6479,37,6516
J25-0053,9,3809,4320,6614,7,M03,6486,52,6538
J25-0069,8,4606,5760,6778,3,M05,6486,51,6537
J25-0061,9,4233,4320,6533,9,M07,6493,45,6538
J25-0082,7,5419,5760,7265,4,M04,6493,32,6525
J25-0033,2,2660,2880,6738,4,M08,6515,90,6605
J25-0081,4,5337,5760,7621,0,M02,6515,14,6529
J25-0075,4,4666,5760,7277,1,M00,6516,6,6522
J25-0073,3,4628,5760,7489,2,M00,6522,71,6593
J25-0075,4,4666,5760,7277,2,M01,6522,22,6544
J25-0082,7,5419,5760,7265,5,M06,6525,88,6613
J25-0069,8,4606,5760,6778,4,M02,6537,85,6622
J25-0051,4,3651,4320,6988,7,M07,6538,49,6587
J25-0053,9,3809,4320,6614,8,M04,6538,90,6628
J25-0084,1,5438,5760,6816,4,M03,6538,69,6607
J25-0048,7,3494,4320,7551,2,M01,6544,46,6590
J25-0075,4,4666,5760,7277,3,M05,6544,61,6605
J25-0083,0,5436,5760,7484,0,M00,6593,29,6622
J25-0033,2,2660,2880,6738,5,M05,6605,10,6615
J25-0056,5,3945,4320,6686,3,M03,6607,95,6702
J25-0084,1,5438,5760,6816,5,M01,6607,28,6635
J25-0082,7,5419,5760,7265,6,M08,6613,19,6632
J25-0033,2,2660,2880,6738,6,M07,6615,12,6627
J25-0048,7,3494,4320,7551,3,M05,6615,74,6689
J25-0066,5,4395,5760,7396,0,M02,6622,84,6706
J25-0069,8,4606,5760,6778,5,M09,6622,11,6633
J25-0081,4,5337,5760,7621,1,M00,6622,6,6628
J25-0053,9,3809,4320,6614,9,M07,6628,45,6673
J25-0068,0,4539,5760,8948,0,M00,6628,29,6657
J25-0073,3,4628,5760,7489,3,M04,6628,99,6727
J25-0051,4,3651,4320,6988,8,M09,6633,72,6705
J25-0069,8,4606,5760,6778,6,M06,6633,40,6673
J25-0038,3,2972,4320,7669,0,M01,6635,81,6716
J25-0071,8,4614,5760,7583,0,M00,6657,76,6733
J25-0069,8,4606,5760,6778,7,M07,6673,89,6762
J25-0084,1,5438,5760,6816,6,M06,6673,46,6719
J25-0056,5,3945,4320,6686,4,M08,6702,48,6750
J25-0075,4,4666,5760,7277,4,M03,6702,26,6728
J25-0082,7,5419,5760,7265,7,M09,6705,48,6753
J25-0070,7,4607,5760,7887,0,M02,6706,31,6737
J25-0066,5,4395,5760,7396,1,M01,6716,2,6718
J25-0083,0,5436,5760,7484,1,M01,6718,78,6796
J25-0033,2,2660,2880,6738,7,M06,6719,89,6808
J25-0084,1,5438,5760,6816,7,M05,6719,46,6765
J25-0048,7,3494,4320,7551,4,M04,6727,32,6759
J25-0042,8,3195,4320,7213,2,M03,6728,76,6804
J25-0038,3,2972,4320,7669,1,M02,6737,95,6832
J25-0070,7,4607,5760,7887,1,M00,6737,86,6823
J25-0056,5,3945,4320,6686,5,M09,6753,72,6825
J25-0069,8,4606,5760,6778,8,M04,6762,26,6788
J25-0066,5,4395,5760,7396,2,M05,6765,52,6817
J25-0084,1,5438,5760,6816,8,M07,6765,72,6837
J25-0069,8,4606,5760,6778,9,M08,6788,74,6862
J25-0075,4,4666,5760,7277,5,M04,6788,69,6857
J25-0071,8,4614,5760,7583,1,M01,6796,69,6865
J25-0072,6,4615,5760,7261,2,M03,6804,61,6865
J25-0073,3,4628,5760,7489,4,M06,6808,9,6817
J25-0042,8,3195,4320,7213,3,M05,6817,51,6868
J25-0051,4,3651,4320,6988,9,M06,6819,53,6872
J25-0033,2,2660,2880,6738,8,M09,6825,45,6870
J25-0056,5,3945,4320,6686,6,M00,6825,47,6872
J25-0083,0,5436,5760,7484,2,M02,6832,9,6841
J25-0082,7,5419,5760,7265,8,M07,6837,36,6873
J25-0065,4,4375,5760,7640,0,M02,6841,14,6855
J25-0084,1,5438,5760,6816,9,M08,6862,30,6892
J25-0070,7,4607,5760,7887,2,M01,6865,46,6911
J25-0072,6,4615,5760,7261,3,M02,6865,13,6878
J25-0083,0,5436,5760,7484,3,M03,6865,36,6901
J25-0078,5,4848,5760,7603,2,M05,6868,52,6920
J25-0033,2,2660,2880,6738,9,M04,6870,33,6903
J25-0038,3,2972,4320,7669,2,M00,6872,71,6943
J25-0056,5,3945,4320,6686,7,M06,6872,65,6937
J25-0042,8,3195,4320,7213,4,M02,6878,85,6963
J25-0075,4,4666,5760,7277,6,M08,6892,21,6913
J25-0066,5,4395,5760,7396,3,M03,6901,95,6996
J25-0064,2,4334,5760,7976,0,M01,6911,91,7002
J25-0073,3,4628,5760,7489,5,M08,6913,52,6965
J25-0056,5,3945,4320,6686,8,M04,6937,6,6943
J25-0072,6,4615,5760,7261,4,M06,6937,32,6969
J25-0056,5,3945,4320,6686,9,M07,6943,25,6968
J25-0083,0,5436,5760,7484,4,M04,6943,49,6992
J25-0085,6,5499,5760,7735,1,M00,6943,37,6980
J25-0042,8,3195,4320,7213,5,M09,6963,11,6974
J25-0067,7,4416,5760,7920,0,M02,6963,31,6994
