Job,Production_Plan_ID,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Tardiness
13,2,9,1046,3787.0,M04,2884.61,33.0,2917.61,0.0
8,8,9,550,3431.0,M08,2884.61,74.0,2958.61,0.0
12,8,0,992,3873.0,M00,2910.78,76.0,2986.78,0.0
15,7,4,1193,3794.0,M04,2917.61,32.0,2949.61,0.0
11,9,9,969,3575.0,M07,2931.43,45.0,2976.43,0.0
15,7,5,1193,3794.0,M06,2949.61,88.0,3037.61,0.0
20,7,0,1537,4138.0,M02,2955.78,31.0,2986.78,0.0
16,1,9,1310,3771.0,M08,2958.61,30.0,2988.61,0.0
12,8,1,992,3873.0,M01,2986.78,69.0,3055.78,0.0
20,7,1,1537,4138.0,M00,2986.78,86.0,3072.78,0.0
15,7,6,1193,3794.0,M08,3037.61,19.0,3056.61,0.0
18,5,7,1459,3853.0,M06,3037.61,65.0,3102.61,0.0
12,8,2,992,3873.0,M03,3055.78,76.0,3131.78,0.0
15,7,7,1193,3794.0,M09,3056.61,48.0,3104.61,0.0
24,5,4,1673,4067.0,M08,3056.61,48.0,3104.61,0.0
27,4,1,2226,4123.0,M00,3072.78,6.0,3078.78,0.0
27,4,2,2226,4123.0,M01,3078.78,22.0,3100.78,0.0
28,0,0,2287,4193.0,M00,3078.78,29.0,3107.78,0.0
20,7,2,1537,4138.0,M01,3100.78,46.0,3146.78,0.0
18,5,8,1459,3853.0,M04,3102.61,6.0,3108.61,0.0
25,6,4,1874,3882.0,M06,3102.61,32.0,3134.61,0.0
15,7,8,1193,3794.0,M07,3104.61,36.0,3140.61,0.0
25,6,5,1874,3882.0,M05,3134.61,21.0,3155.61,0.0
15,7,9,1193,3794.0,M03,3140.61,79.0,3219.61,0.0
18,5,9,1459,3853.0,M07,3140.61,25.0,3165.61,0.0
28,0,1,2287,4193.0,M01,3146.78,78.0,3224.78,0.0
27,4,3,2226,4123.0,M05,3155.61,61.0,3216.61,0.0
25,6,6,1874,3882.0,M09,3164.78,32.0,3196.78,0.0
24,5,5,1673,4067.0,M09,3196.78,72.0,3268.78,0.0
25,6,7,1874,3882.0,M08,3196.78,89.0,3285.78,0.0
12,8,3,992,3873.0,M05,3216.61,51.0,3267.61,0.0
27,4,4,2226,4123.0,M03,3219.61,26.0,3245.61,0.0
22,2,0,1588,4329.0,M01,3224.78,91.0,3315.78,0.0
27,4,5,2226,4123.0,M04,3245.61,69.0,3314.61,0.0
12,8,4,992,3873.0,M02,3267.61,85.0,3352.61,0.0
20,7,3,1537,4138.0,M05,3267.61,74.0,3341.61,0.0
24,5,6,1673,4067.0,M00,3268.78,47.0,3315.78,0.0
17,3,0,1343,4504.0,M01,3315.78,81.0,3396.78,0.0
22,2,1,1588,4329.0,M00,3315.78,85.0,3400.78,0.0
25,6,8,1874,3882.0,M07,3351.61,30.0,3381.61,0.0
12,8,5,992,3873.0,M09,3352.61,11.0,3363.61,0.0
28,0,2,2287,4193.0,M02,3352.61,9.0,3361.61,0.0
28,0,3,2287,4193.0,M03,3361.61,36.0,3397.61,0.0
12,8,6,992,3873.0,M06,3363.61,40.0,3403.61,0.0
25,6,9,1874,3882.0,M04,3381.61,55.0,3436.61,0.0
17,3,1,1343,4504.0,M02,3396.78,95.0,3491.78,0.0
26,9,0,1966,4572.0,M01,3396.78,85.0,3481.78,0.0
22,2,2,1588,4329.0,M03,3400.78,39.0,3439.78,0.0
12,8,7,992,3873.0,M07,3403.61,89.0,3492.61,0.0
24,5,7,1673,4067.0,M06,3403.61,65.0,3468.61,0.0
20,7,4,1537,4138.0,M04,3436.61,32.0,3468.61,0.0
20,7,5,1537,4138.0,M06,3468.61,88.0,3556.61,0.0
24,5,8,1673,4067.0,M04,3468.61,6.0,3474.61,0.0
17,3,2,1343,4504.0,M00,3491.78,71.0,3562.78,0.0
22,2,3,1588,4329.0,M02,3491.78,74.0,3565.78,0.0
12,8,8,992,3873.0,M04,3492.61,26.0,3518.61,0.0
24,5,9,1673,4067.0,M07,3492.61,25.0,3517.61,0.0
12,8,9,992,3873.0,M08,3518.61,74.0,3592.61,0.0
17,3,3,1343,4504.0,M04,3562.78,99.0,3661.78,0.0
23,8,0,1626,4507.0,M00,3562.78,76.0,3638.78,0.0
27,4,6,2226,4123.0,M08,3592.61,21.0,3613.61,0.0
20,7,6,1537,4138.0,M08,3613.61,19.0,3632.61,0.0
27,4,7,2226,4123.0,M07,3613.61,49.0,3662.61,0.0
22,2,4,1588,4329.0,M08,3632.61,90.0,3722.61,0.0
23,8,1,1626,4507.0,M01,3638.78,69.0,3707.78,0.0
28,0,4,2287,4193.0,M04,3661.78,49.0,3710.78,0.0
27,4,8,2226,4123.0,M09,3662.61,72.0,3734.61,0.0
26,9,1,1966,4572.0,M00,3702.78,13.0,3715.78,0.0
33,6,0,2641,4649.0,M01,3707.78,46.0,3753.78,0.0
28,0,5,2287,4193.0,M05,3710.78,11.0,3721.78,0.0
26,9,2,1966,4572.0,M02,3715.78,61.0,3776.78,0.0
39,0,0,2781,4687.0,M00,3715.78,29.0,3744.78,0.0
28,0,6,2287,4193.0,M06,3721.78,62.0,3783.78,0.0
22,2,5,1588,4329.0,M05,3722.61,10.0,3732.61,0.0
20,7,7,1537,4138.0,M09,3734.61,48.0,3782.61,0.0
33,6,1,2641,4649.0,M00,3753.78,37.0,3790.78,0.0
38,4,0,2770,4667.0,M02,3776.78,14.0,3790.78,0.0
17,3,4,1343,4504.0,M06,3783.78,9.0,3792.78,0.0
28,0,7,2287,4193.0,M07,3783.78,56.0,3839.78,0.0
38,4,1,2770,4667.0,M00,3790.78,6.0,3796.78,0.0
27,4,9,2226,4123.0,M06,3792.78,53.0,3845.78,0.0
29,1,0,2338,4799.0,M00,3796.78,43.0,3839.78,0.0
38,4,2,2770,4667.0,M01,3796.78,22.0,3818.78,0.0
23,8,2,1626,4507.0,M03,3799.78,76.0,3875.78,0.0
39,0,1,2781,4687.0,M01,3818.78,78.0,3896.78,0.0
20,7,8,1537,4138.0,M07,3839.78,36.0,3875.78,0.0
28,0,8,2287,4193.0,M08,3839.78,44.0,3883.78,0.0
20,7,9,1537,4138.0,M03,3875.78,79.0,3954.78,0.0
17,3,5,1343,4504.0,M08,3883.78,52.0,3935.78,0.0
28,0,9,2287,4193.0,M09,3883.78,21.0,3904.78,0.0
21,3,0,1561,4722.0,M01,3896.78,81.0,3977.78,0.0
17,3,6,1343,4504.0,M07,3935.78,85.0,4020.78,0.0
33,6,2,2641,4649.0,M03,3954.78,61.0,4015.78,0.0
17,3,7,1343,4504.0,M03,4020.78,98.0,4118.78,0.0
22,2,6,1588,4329.0,M07,4020.78,12.0,4032.78,0.0
26,9,3,1966,4572.0,M06,4025.78,7.0,4032.78,0.0
22,2,7,1588,4329.0,M06,4032.78,89.0,4121.78,0.0
33,6,3,2641,4649.0,M02,4108.78,13.0,4121.78,0.0
22,2,8,1588,4329.0,M09,4121.78,45.0,4166.78,0.0
33,6,4,2641,4649.0,M06,4121.78,32.0,4153.78,0.0
26,9,4,1966,4572.0,M08,4124.78,64.0,4188.78,0.0
17,3,8,1343,4504.0,M09,4166.78,22.0,4188.78,0.0
22,2,9,1588,4329.0,M04,4166.78,33.0,4199.78,0.0
17,3,9,1343,4504.0,M05,4188.78,43.0,4231.78,0.0
26,9,5,1966,4572.0,M09,4188.78,76.0,4264.78,0.0
38,4,3,2770,4667.0,M05,4231.78,61.0,4292.78,0.0
23,8,3,1626,4507.0,M05,4292.78,51.0,4343.78,0.0
23,8,4,1626,4507.0,M02,4343.78,85.0,4428.78,0.0
33,6,5,2641,4649.0,M05,4363.78,21.0,4384.78,0.0
26,9,6,1966,4572.0,M05,4384.78,47.0,4431.78,0.0
38,4,4,2770,4667.0,M03,4405.78,26.0,4431.78,0.0
23,8,5,1626,4507.0,M09,4428.78,11.0,4439.78,0.0
39,0,2,2781,4687.0,M02,4428.78,9.0,4437.78,0.0
26,9,7,1966,4572.0,M03,4431.78,52.0,4483.78,0.0
40,4,0,2989,4886.0,M02,4437.78,14.0,4451.78,0.0
23,8,6,1626,4507.0,M06,4439.78,40.0,4479.78,0.0
33,6,6,2641,4649.0,M09,4439.78,32.0,4471.78,0.0
21,3,1,1561,4722.0,M02,4451.78,95.0,4546.78,0.0
23,8,7,1626,4507.0,M07,4479.78,89.0,4568.78,61.78
39,0,3,2781,4687.0,M03,4483.78,36.0,4519.78,0.0
39,0,4,2781,4687.0,M04,4519.78,49.0,4568.78,0.0
21,3,2,1561,4722.0,M00,4546.78,71.0,4617.78,0.0
29,1,1,2338,4799.0,M02,4546.78,90.0,4636.78,0.0
23,8,8,1626,4507.0,M04,4568.78,26.0,4594.78,87.78
39,0,5,2781,4687.0,M05,4568.78,11.0,4579.78,0.0
39,0,6,2781,4687.0,M06,4579.78,62.0,4641.78,0.0
23,8,9,1626,4507.0,M08,4594.78,74.0,4668.78,161.78
38,4,5,2770,4667.0,M04,4594.78,69.0,4663.78,0.0
40,4,1,2989,4886.0,M00,4617.78,6.0,4623.78,0.0
31,1,0,2520,4981.0,M00,4623.78,43.0,4666.78,0.0
40,4,2,2989,4886.0,M01,4623.78,22.0,4645.78,0.0
32,5,0,2588,4982.0,M02,4636.78,84.0,4720.78,0.0
40,4,3,2989,4886.0,M05,4645.78,61.0,4706.78,0.0
26,9,8,1966,4572.0,M04,4663.78,90.0,4753.78,181.78
42,0,0,3252,5158.0,M00,4666.78,29.0,4695.78,0.0
33,6,7,2641,4649.0,M08,4668.78,89.0,4757.78,108.78
21,3,3,1561,4722.0,M04,4753.78,99.0,4852.78,130.78
38,4,6,2770,4667.0,M08,4757.78,21.0,4778.78,111.78
38,4,7,2770,4667.0,M07,4778.78,49.0,4827.78,160.78
26,9,9,1966,4572.0,M07,4827.78,45.0,4872.78,300.78
38,4,8,2770,4667.0,M09,4827.78,72.0,4899.78,232.78
29,1,2,2338,4799.0,M04,4852.78,75.0,4927.78,128.78
33,6,8,2641,4649.0,M07,4872.78,30.0,4902.78,253.78
38,4,9,2770,4667.0,M06,4899.78,53.0,4952.78,285.78
39,0,7,2781,4687.0,M07,4902.78,56.0,4958.78,271.78
33,6,9,2641,4649.0,M04,4927.78,55.0,4982.78,333.78
21,3,4,1561,4722.0,M06,4952.78,9.0,4961.78,239.78
39,0,8,2781,4687.0,M08,4958.78,44.0,5002.78,315.78
21,3,5,1561,4722.0,M08,5002.78,52.0,5054.78,332.78
39,0,9,2781,4687.0,M09,5002.78,21.0,5023.78,336.78
29,1,3,2338,4799.0,M09,5023.78,11.0,5034.78,235.78
21,3,6,1561,4722.0,M07,5054.78,85.0,5139.78,417.78
31,1,1,2520,4981.0,M02,5094.78,90.0,5184.78,203.78
21,3,7,1561,4722.0,M03,5139.78,98.0,5237.78,515.78
31,1,2,2520,4981.0,M04,5184.78,75.0,5259.78,278.78
21,3,8,1561,4722.0,M09,5237.78,22.0,5259.78,537.78
29,1,4,2338,4799.0,M03,5237.78,69.0,5306.78,507.78
21,3,9,1561,4722.0,M05,5259.78,43.0,5302.78,580.78
31,1,3,2520,4981.0,M09,5259.78,11.0,5270.78,289.78
32,5,1,2588,4982.0,M01,5304.78,2.0,5306.78,324.78
29,1,5,2338,4799.0,M01,5306.78,28.0,5334.78,535.78
40,4,4,2989,4886.0,M03,5306.78,26.0,5332.78,446.78
31,1,4,2520,4981.0,M03,5332.78,69.0,5401.78,420.78
40,4,5,2989,4886.0,M04,5332.78,69.0,5401.78,515.78
29,1,6,2338,4799.0,M06,5334.78,46.0,5380.78,581.78
34,9,0,2645,5251.0,M01,5334.78,85.0,5419.78,168.78
30,8,0,2379,5260.0,M00,5343.78,76.0,5419.78,159.78
29,1,7,2338,4799.0,M05,5380.78,46.0,5426.78,627.78
34,9,1,2645,5251.0,M00,5419.78,13.0,5432.78,181.78
42,0,1,3252,5158.0,M01,5419.78,78.0,5497.78,339.78
29,1,8,2338,4799.0,M07,5426.78,72.0,5498.78,699.78
32,5,2,2588,4982.0,M05,5426.78,52.0,5478.78,496.78
32,5,3,2588,4982.0,M03,5478.78,95.0,5573.78,591.78
31,1,5,2520,4981.0,M01,5497.78,28.0,5525.78,544.78
42,0,2,3252,5158.0,M02,5497.78,9.0,5506.78,348.78
29,1,9,2338,4799.0,M08,5498.78,30.0,5528.78,729.78
35,7,0,2691,5292.0,M02,5506.78,31.0,5537.78,245.78
30,8,1,2379,5260.0,M01,5525.78,69.0,5594.78,334.78
40,4,6,2989,4886.0,M08,5528.78,21.0,5549.78,663.78
34,9,2,2645,5251.0,M02,5537.78,61.0,5598.78,347.78
35,7,1,2691,5292.0,M00,5537.78,86.0,5623.78,331.78
40,4,7,2989,4886.0,M07,5549.78,49.0,5598.78,712.78
32,5,4,2588,4982.0,M08,5573.78,48.0,5621.78,639.78
42,0,3,3252,5158.0,M03,5573.78,36.0,5609.78,451.78
37,2,0,2762,5503.0,M01,5594.78,91.0,5685.78,182.78
40,4,8,2989,4886.0,M09,5598.78,72.0,5670.78,784.78
30,8,2,2379,5260.0,M03,5609.78,76.0,5685.78,425.78
42,0,4,3252,5158.0,M04,5609.78,49.0,5658.78,500.78
41,5,0,3246,5640.0,M02,5652.78,84.0,5736.78,96.78
32,5,5,2588,4982.0,M09,5670.78,72.0,5742.78,760.78
40,4,9,2989,4886.0,M06,5670.78,53.0,5723.78,837.78
30,8,3,2379,5260.0,M05,5685.78,51.0,5736.78,476.78
37,2,1,2762,5503.0,M00,5685.78,85.0,5770.78,267.78
49,6,0,3653,5661.0,M01,5685.78,46.0,5731.78,70.78
35,7,2,2691,5292.0,M01,5731.78,46.0,5777.78,485.78
30,8,4,2379,5260.0,M02,5736.78,85.0,5821.78,561.78
42,0,5,3252,5158.0,M05,5736.78,11.0,5747.78,589.78
42,0,6,3252,5158.0,M06,5747.78,62.0,5809.78,651.78
32,5,6,2588,4982.0,M00,5770.78,47.0,5817.78,835.78
37,2,2,2762,5503.0,M03,5770.78,39.0,5809.78,306.78
41,5,1,3246,5640.0,M01,5777.78,2.0,5779.78,139.78
36,3,0,2709,5870.0,M01,5779.78,81.0,5860.78,0.0
31,1,6,2520,4981.0,M06,5809.78,46.0,5855.78,874.78
30,8,5,2379,5260.0,M09,5821.78,11.0,5832.78,572.78
37,2,3,2762,5503.0,M02,5821.78,74.0,5895.78,392.78
31,1,7,2520,4981.0,M05,5855.78,46.0,5901.78,920.78
34,9,3,2645,5251.0,M06,5855.78,7.0,5862.78,611.78
44,9,0,3379,5985.0,M01,5860.78,85.0,5945.78,0.0
32,5,7,2588,4982.0,M06,5862.78,65.0,5927.78,945.78
36,3,1,2709,5870.0,M02,5895.78,95.0,5990.78,120.78
41,5,2,3246,5640.0,M05,5901.78,52.0,5953.78,313.78
49,6,1,3653,5661.0,M00,5908.78,37.0,5945.78,284.78
30,8,6,2379,5260.0,M06,5927.78,40.0,5967.78,707.78
32,5,8,2588,4982.0,M04,5927.78,6.0,5933.78,951.78
32,5,9,2588,4982.0,M07,5933.78,25.0,5958.78,976.78
44,9,1,3379,5985.0,M00,5945.78,13.0,5958.78,0.0
49,6,2,3653,5661.0,M03,5945.78,61.0,6006.78,345.78
35,7,3,2691,5292.0,M05,5953.78,74.0,6027.78,735.78
31,1,8,2520,4981.0,M07,5958.78,72.0,6030.78,1049.78
47,1,0,3544,6005.0,M00,5958.78,43.0,6001.78,0.0
44,9,2,3379,5985.0,M02,5990.78,61.0,6051.78,66.78
36,3,2,2709,5870.0,M00,6001.78,71.0,6072.78,202.78
35,7,4,2691,5292.0,M04,6027.78,32.0,6059.78,767.78
31,1,9,2520,4981.0,M08,6030.78,30.0,6060.78,1079.78
42,0,7,3252,5158.0,M07,6030.78,56.0,6086.78,928.78
49,6,3,3653,5661.0,M02,6051.78,13.0,6064.78,403.78
47,1,1,3544,6005.0,M02,6064.78,90.0,6154.78,149.78
55,0,0,4190,6096.0,M00,6072.78,29.0,6101.78,5.78
30,8,7,2379,5260.0,M07,6086.78,89.0,6175.78,915.78
42,0,8,3252,5158.0,M08,6086.78,44.0,6130.78,972.78
55,0,1,4190,6096.0,M01,6101.78,78.0,6179.78,83.78
34,9,4,2645,5251.0,M08,6130.78,64.0,6194.78,943.78
42,0,9,3252,5158.0,M09,6130.78,21.0,6151.78,993.78
30,8,8,2379,5260.0,M04,6175.78,26.0,6201.78,941.78
43,2,0,3372,6113.0,M01,6179.78,91.0,6270.78,157.78
55,0,2,4190,6096.0,M02,6179.78,9.0,6188.78,92.78
35,7,5,2691,5292.0,M06,6186.78,88.0,6274.78,982.78
34,9,5,2645,5251.0,M09,6194.78,76.0,6270.78,1019.78
37,2,4,2762,5503.0,M08,6194.78,90.0,6284.78,781.78
36,3,3,2709,5870.0,M04,6201.78,99.0,6300.78,430.78
41,5,3,3246,5640.0,M03,6208.78,95.0,6303.78,663.78
49,6,4,3653,5661.0,M06,6274.78,32.0,6306.78,645.78
35,7,6,2691,5292.0,M08,6284.78,19.0,6303.78,1011.78
37,2,5,2762,5503.0,M05,6284.78,10.0,6294.78,791.78
34,9,6,2645,5251.0,M05,6294.78,47.0,6341.78,1090.78
37,2,6,2762,5503.0,M07,6294.78,12.0,6306.78,803.78
35,7,7,2691,5292.0,M09,6303.78,48.0,6351.78,1059.78
41,5,4,3246,5640.0,M08,6303.78,48.0,6351.78,711.78
37,2,7,2762,5503.0,M06,6306.78,89.0,6395.78,892.78
34,9,7,2645,5251.0,M03,6341.78,52.0,6393.78,1142.78
30,8,9,2379,5260.0,M08,6351.78,74.0,6425.78,1165.78
35,7,8,2691,5292.0,M07,6351.78,36.0,6387.78,1095.78
41,5,5,3246,5640.0,M09,6351.78,72.0,6423.78,783.78
34,9,8,2645,5251.0,M04,6393.78,90.0,6483.78,1232.78
35,7,9,2691,5292.0,M03,6393.78,79.0,6472.78,1180.78
49,6,5,3653,5661.0,M05,6402.78,21.0,6423.78,762.78
41,5,6,3246,5640.0,M00,6423.78,47.0,6470.78,830.78
49,6,6,3653,5661.0,M09,6423.78,32.0,6455.78,794.78
37,2,8,2762,5503.0,M09,6455.78,45.0,6500.78,997.78
36,3,4,2709,5870.0,M06,6461.78,9.0,6470.78,600.78
41,5,7,3246,5640.0,M06,6470.78,65.0,6535.78,895.78
43,2,1,3372,6113.0,M00,6470.78,85.0,6555.78,442.78
36,3,5,2709,5870.0,M08,6476.78,52.0,6528.78,658.78
