Job,Production_Plan_ID,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Tardiness
10,0,9,963,2869.0,M09,1440.0,21.0,1461.0,0.0
5,5,4,485,2879.0,M08,1440.85,48.0,1488.85,0.0
2,2,2,158,2899.0,M03,1442.43,39.0,1481.43,0.0
2,2,3,158,2899.0,M02,1481.43,74.0,1555.43,0.0
5,5,5,485,2879.0,M09,1488.85,72.0,1560.85,0.0
14,4,0,1177,3074.0,M02,1555.43,14.0,1569.43,0.0
2,2,4,158,2899.0,M08,1555.43,90.0,1645.43,0.0
5,5,6,485,2879.0,M00,1560.85,47.0,1607.85,0.0
7,7,0,528,3129.0,M02,1569.43,31.0,1600.43,0.0
14,4,1,1177,3074.0,M00,1607.85,6.0,1613.85,0.0
5,5,7,485,2879.0,M06,1607.85,65.0,1672.85,0.0
14,4,2,1177,3074.0,M01,1613.85,22.0,1635.85,0.0
7,7,1,528,3129.0,M00,1613.85,86.0,1699.85,0.0
9,9,0,559,3165.0,M01,1635.85,85.0,1720.85,0.0
2,2,5,158,2899.0,M05,1645.43,10.0,1655.43,0.0
14,4,3,1177,3074.0,M05,1655.43,61.0,1716.43,0.0
2,2,6,158,2899.0,M07,1655.43,12.0,1667.43,0.0
2,2,7,158,2899.0,M06,1672.85,89.0,1761.85,0.0
5,5,8,485,2879.0,M04,1672.85,6.0,1678.85,0.0
5,5,9,485,2879.0,M07,1678.85,25.0,1703.85,0.0
14,4,4,1177,3074.0,M03,1716.43,26.0,1742.43,0.0
7,7,2,528,3129.0,M01,1720.85,46.0,1766.85,0.0
9,9,1,559,3165.0,M00,1720.85,13.0,1733.85,0.0
8,8,0,550,3431.0,M00,1733.85,76.0,1809.85,0.0
9,9,2,559,3165.0,M02,1733.85,61.0,1794.85,0.0
2,2,8,158,2899.0,M09,1761.85,45.0,1806.85,0.0
3,3,0,236,3397.0,M01,1766.85,81.0,1847.85,0.0
7,7,3,528,3129.0,M05,1766.85,74.0,1840.85,0.0
2,2,9,158,2899.0,M04,1806.85,33.0,1839.85,0.0
14,4,5,1177,3074.0,M04,1839.85,69.0,1908.85,0.0
3,3,1,236,3397.0,M02,1847.85,95.0,1942.85,0.0
8,8,1,550,3431.0,M01,1847.85,69.0,1916.85,0.0
14,4,6,1177,3074.0,M08,1908.85,21.0,1929.85,0.0
7,7,4,528,3129.0,M04,1908.85,32.0,1940.85,0.0
19,6,0,1460,3468.0,M01,1916.85,46.0,1962.85,0.0
8,8,2,550,3431.0,M03,1916.85,76.0,1992.85,0.0
14,4,7,1177,3074.0,M07,1929.85,49.0,1978.85,0.0
7,7,5,528,3129.0,M06,1940.85,88.0,2028.85,0.0
3,3,2,236,3397.0,M00,1942.85,71.0,2013.85,0.0
11,9,0,969,3575.0,M01,1962.85,85.0,2047.85,0.0
14,4,8,1177,3074.0,M09,1978.85,72.0,2050.85,0.0
8,8,3,550,3431.0,M05,1992.85,51.0,2043.85,0.0
19,6,1,1460,3468.0,M00,2013.85,37.0,2050.85,0.0
3,3,3,236,3397.0,M04,2013.85,99.0,2112.85,0.0
7,7,6,528,3129.0,M08,2028.85,19.0,2047.85,0.0
9,9,3,559,3165.0,M06,2028.85,7.0,2035.85,0.0
8,8,4,550,3431.0,M02,2043.85,85.0,2128.85,0.0
13,2,0,1046,3787.0,M01,2047.85,91.0,2138.85,0.0
9,9,4,559,3165.0,M08,2047.85,64.0,2111.85,0.0
11,9,1,969,3575.0,M00,2050.85,13.0,2063.85,0.0
14,4,9,1177,3074.0,M06,2050.85,53.0,2103.85,0.0
19,6,2,1460,3468.0,M03,2050.85,61.0,2111.85,0.0
7,7,7,528,3129.0,M09,2050.85,48.0,2098.85,0.0
16,1,0,1310,3771.0,M00,2063.85,43.0,2106.85,0.0
7,7,8,528,3129.0,M07,2098.85,36.0,2134.85,0.0
9,9,5,559,3165.0,M09,2111.85,76.0,2187.85,0.0
3,3,4,236,3397.0,M06,2112.85,9.0,2121.85,0.0
3,3,5,236,3397.0,M08,2121.85,52.0,2173.85,0.0
19,6,3,1460,3468.0,M02,2128.85,13.0,2141.85,0.0
7,7,9,528,3129.0,M03,2134.85,79.0,2213.85,0.0
13,2,1,1046,3787.0,M00,2138.85,85.0,2223.85,0.0
16,1,1,1310,3771.0,M02,2141.85,90.0,2231.85,0.0
3,3,6,236,3397.0,M07,2173.85,85.0,2258.85,0.0
8,8,5,550,3431.0,M09,2187.85,11.0,2198.85,0.0
9,9,6,559,3165.0,M05,2187.85,47.0,2234.85,0.0
